id,title,genres,keywords,cast,vote_average,vote_count,soup
57158,The Hobbit: The Desolation of Smaug,adventure fantasy,elves dwarves orcs hobbit dragon,martin freeman ian mckellen richard armitage ken stott graham mctavish,7.6,4524,elves dwarves orcs hobbit dragon martin freeman ian mckellen richard armitage ken stott graham mctavish adventure fantasy
2268,The Golden Compass,adventure fantasy,england compass experiment lordship uncle,dakota blue richards nicole kidman daniel craig sam elliott eva green,5.8,1303,england compass experiment lordship uncle dakota blue richards nicole kidman daniel craig sam elliott eva green adventure fantasy
254,King Kong,adventure drama action,film business screenplay show business film making film producer,naomi watts jack black adrien brody thomas kretschmann colin hanks,6.6,2337,film business screenplay show business film making film producer naomi watts jack black adrien brody thomas kretschmann colin hanks adventure drama action
597,Titanic,drama romance thriller,shipwreck iceberg ship panic titanic,kate winslet leonardo dicaprio frances fisher billy zane kathy bates,7.5,7562,shipwreck iceberg ship panic titanic kate winslet leonardo dicaprio frances fisher billy zane kathy bates drama romance thriller
271110,Captain America: Civil War,adventure action science fiction,civil war war marvel comic sequel superhero,chris evans robert downey jr scarlett johansson sebastian stan anthony mackie,7.1,7241,civil war war marvel comic sequel superhero chris evans robert downey jr scarlett johansson sebastian stan anthony mackie adventure action science fiction
44833,Battleship,thriller action adventure science fiction,fight us navy mind reading hong kong soccer,taylor kitsch alexander skarsguerd rihanna brooklyn decker tadanobu asano,5.5,2114,fight us navy mind reading hong kong soccer taylor kitsch alexander skarsguerd rihanna brooklyn decker tadanobu asano thriller action adventure science fiction
135397,Jurassic World,action adventure science fiction thriller,monster dna tyrannosaurus rex velociraptor island,chris pratt bryce dallas howard irrfan khan vincent donofrio nick robinson,6.5,8662,monster dna tyrannosaurus rex velociraptor island chris pratt bryce dallas howard irrfan khan vincent donofrio nick robinson action adventure science fiction thriller
37724,Skyfall,action adventure thriller,spy secret agent sociopath killer art gallery,daniel craig judi dench javier bardem ralph fiennes naomie harris,6.9,7604,spy secret agent sociopath killer art gallery daniel craig judi dench javier bardem ralph fiennes naomie harris action adventure thriller
558,Spider-Man 2,action adventure fantasy,dual identity love of ones life pizza boy marvel comic sequel,tobey maguire kirsten dunst james franco alfred molina rosemary harris,6.7,4321,dual identity love of ones life pizza boy marvel comic sequel tobey maguire kirsten dunst james franco alfred molina rosemary harris action adventure fantasy
68721,Iron Man 3,action adventure science fiction,terrorist war on terror tennessee malibu marvel comic,robert downey jr gwyneth paltrow don cheadle guy pearce rebecca hall,6.8,8806,terrorist war on terror tennessee malibu marvel comic robert downey jr gwyneth paltrow don cheadle guy pearce rebecca hall action adventure science fiction
12155,Alice in Wonderland,family fantasy adventure,based on novel fictional place queen fantasy alice in wonderland,mia wasikowska johnny depp anne hathaway helena bonham carter crispin glover,6.4,4645,based on novel fictional place queen fantasy alice in wonderland mia wasikowska johnny depp anne hathaway helena bonham carter crispin glover family fantasy adventure
36668,X-Men: The Last Stand,adventure action science fiction thriller,mutant marvel comic based on comic book superhuman beast,hugh jackman halle berry ian mckellen patrick stewart famke janssen,6.3,3525,mutant marvel comic based on comic book superhuman beast hugh jackman halle berry ian mckellen patrick stewart famke janssen adventure action science fiction thriller
62211,Monsters University,animation family,monster dormitory games animation best friend,billy crystal john goodman steve buscemi helen mirren noah johnston,7.0,3528,monster dormitory games animation best friend billy crystal john goodman steve buscemi helen mirren noah johnston animation family
8373,Transformers: Revenge of the Fallen,science fiction action adventure,egypt sun chaos symbol artifact,shia labeouf megan fox josh duhamel rainn wilson tyrese gibson,6.0,3138,egypt sun chaos symbol artifact shia labeouf megan fox josh duhamel rainn wilson tyrese gibson science fiction action adventure
91314,Transformers: Age of Extinction,science fiction action adventure,sequel alien transformers giant robot robot,mark wahlberg stanley tucci kelsey grammer nicola peltz jack reynor,5.8,3095,sequel alien transformers giant robot robot mark wahlberg stanley tucci kelsey grammer nicola peltz jack reynor science fiction action adventure
68728,Oz: The Great and Powerful,fantasy adventure family,circus witch magic hope illusion,james franco mila kunis rachel weisz michelle williams zach braff,5.7,3530,circus witch magic hope illusion james franco mila kunis rachel weisz michelle williams zach braff fantasy adventure family
102382,The Amazing Spider-Man 2,action adventure fantasy,obsession marvel comic sequel based on comic book electrocution,andrew garfield emma stone jamie foxx dane dehaan campbell scott,6.5,4179,obsession marvel comic sequel based on comic book electrocution andrew garfield emma stone jamie foxx dane dehaan campbell scott action adventure fantasy
20526,TRON: Legacy,adventure action science fiction,artificial intelligence secret identity computer program dystopia computer,garrett hedlund jeff bridges olivia wilde bruce boxleitner yaya dacosta,6.3,2841,artificial intelligence secret identity computer program dystopia computer garrett hedlund jeff bridges olivia wilde bruce boxleitner yaya dacosta adventure action science fiction
49013,Cars 2,animation family adventure comedy,car race sequel comedy anthropomorphism best friend,owen wilson larry the cable guy michael caine emily mortimer john turturro,5.8,2033,car race sequel comedy anthropomorphism best friend owen wilson larry the cable guy michael caine emily mortimer john turturro animation family adventure comedy
44912,Green Lantern,adventure action thriller science fiction,dc comics transformation superhero alien alien infection,ryan reynolds blake lively peter sarsgaard tim robbins mark strong,5.1,2487,dc comics transformation superhero alien alien infection ryan reynolds blake lively peter sarsgaard tim robbins mark strong adventure action thriller science fiction
10193,Toy Story 3,animation family comedy,hostage college toy barbie animation,tom hanks tim allen ned beatty joan cusack michael keaton,7.6,4597,hostage college toy barbie animation tom hanks tim allen ned beatty joan cusack michael keaton animation family comedy
534,Terminator Salvation,action science fiction thriller,saving the world artificial intelligence prophecy san francisco cyborg,christian bale sam worthington anton yelchin moon bloodgood bryce dallas howard,5.9,2463,saving the world artificial intelligence prophecy san francisco cyborg christian bale sam worthington anton yelchin moon bloodgood bryce dallas howard action science fiction thriller
168259,Furious 7,action,car race speed revenge suspense car,vin diesel paul walker dwayne johnson michelle rodriguez tyrese gibson,7.3,4176,car race speed revenge suspense car vin diesel paul walker dwayne johnson michelle rodriguez tyrese gibson action
72190,World War Z,action drama horror science fiction thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,brad pitt mireille enos abigail hargrove sterling jerins james badge dale,6.7,5560,dystopia apocalypse zombie nuclear weapons multiple perspectives brad pitt mireille enos abigail hargrove sterling jerins james badge dale action drama horror science fiction thriller
127585,X-Men: Days of Future Past,action adventure fantasy science fiction,s mutant time travel marvel comic based on comic book,hugh jackman james mcavoy michael fassbender jennifer lawrence halle berry,7.5,6032,s mutant time travel marvel comic based on comic book hugh jackman james mcavoy michael fassbender jennifer lawrence halle berry action adventure fantasy science fiction
54138,Star Trek Into Darkness,action adventure science fiction,spacecraft friendship sequel futuristic space,chris pine zachary quinto zoe saldana karl urban simon pegg,7.4,4418,spacecraft friendship sequel futuristic space chris pine zachary quinto zoe saldana karl urban simon pegg action adventure science fiction
81005,Jack the Giant Slayer,action family fantasy,based on fairy tale giant,nicholas hoult eleanor tomlinson ewan mcgregor stanley tucci ian mcshane,5.5,2598,based on fairy tale giant nicholas hoult eleanor tomlinson ewan mcgregor stanley tucci ian mcshane action family fantasy
64682,The Great Gatsby,drama romance,based on novel infidelity obsession hope d,leonardo dicaprio tobey maguire carey mulligan joel edgerton elizabeth debicki,7.3,3769,based on novel infidelity obsession hope d leonardo dicaprio tobey maguire carey mulligan joel edgerton elizabeth debicki drama romance
9543,Prince of Persia: The Sands of Time,adventure fantasy action romance,persia sandstorm brother against brother armageddon regent,jake gyllenhaal gemma arterton ben kingsley alfred molina steve toussaint,6.2,2317,persia sandstorm brother against brother armageddon regent jake gyllenhaal gemma arterton ben kingsley alfred molina steve toussaint adventure fantasy action romance
68726,Pacific Rim,action science fiction adventure,dystopia giant robot giant monster apocalypse imax,idris elba charlie hunnam charlie day ron perlman burn gorman,6.7,4794,dystopia giant robot giant monster apocalypse imax idris elba charlie hunnam charlie day ron perlman burn gorman action science fiction adventure
38356,Transformers: Dark of the Moon,action science fiction adventure,moon spacecraft traitor bodyguard alien planet,shia labeouf john malkovich ken jeong frances mcdormand josh duhamel,6.1,3299,moon spacecraft traitor bodyguard alien planet shia labeouf john malkovich ken jeong frances mcdormand josh duhamel action science fiction adventure
217,Indiana Jones and the Kingdom of the Crystal Skull,adventure action,saving the world riddle whip treasure mexico city,harrison ford cate blanchett shia labeouf ray winstone karen allen,5.7,2495,saving the world riddle whip treasure mexico city harrison ford cate blanchett shia labeouf ray winstone karen allen adventure action
105864,The Good Dinosaur,adventure animation family,tyrannosaurus rex friends alternate history dinosaur fear,raymond ochoa jack bright jeffrey wright frances mcdormand maleah nipaypadilla,6.6,1736,tyrannosaurus rex friends alternate history dinosaur fear raymond ochoa jack bright jeffrey wright frances mcdormand maleah nipaypadilla adventure animation family
62177,Brave,animation adventure comedy family action,scotland rebel bravery kingdom archer,kelly macdonald julie walters billy connolly emma thompson kevin mckidd,6.7,4641,scotland rebel bravery kingdom archer kelly macdonald julie walters billy connolly emma thompson kevin mckidd animation adventure comedy family action
188927,Star Trek Beyond,action adventure science fiction,sequel stranded hatred space opera,chris pine zachary quinto karl urban simon pegg zoe saldana,6.6,2568,sequel stranded hatred space opera chris pine zachary quinto karl urban simon pegg zoe saldana action adventure science fiction
10681,WALL·E,animation family,romantic comedy,ben burtt elissa knight jeff garlin fred willard john ratzenberger,7.8,6296,romantic comedy ben burtt elissa knight jeff garlin fred willard john ratzenberger animation family
5174,Rush Hour 3,action comedy crime thriller,ambassador,chris tucker jackie chan hiroyuki sanada max von sydow yvan attal,6.1,783,ambassador chris tucker jackie chan hiroyuki sanada max von sydow yvan attal action comedy crime thriller
14161,2012,action adventure science fiction,civilization natural disaster end of the world disaster apocalypse,john cusack amanda peet chiwetel ejiofor thandie newton oliver platt,5.6,4903,civilization natural disaster end of the world disaster apocalypse john cusack amanda peet chiwetel ejiofor thandie newton oliver platt action adventure science fiction
17979,A Christmas Carol,animation drama,holiday based on novel victorian england money christmas eve,gary oldman jim carrey steve valentine daryl sabara sage ryan,6.6,1095,holiday based on novel victorian england money christmas eve gary oldman jim carrey steve valentine daryl sabara sage ryan animation drama
76757,Jupiter Ascending,science fiction fantasy action adventure,jupiter space woman director d interspecies romance,mila kunis channing tatum sean bean eddie redmayne douglas booth,5.2,2768,jupiter space woman director d interspecies romance mila kunis channing tatum sean bean eddie redmayne douglas booth science fiction fantasy action adventure
258489,The Legend of Tarzan,action adventure,africa feral child tarzan jungle animal attack,alexander skarsguerd margot robbie christoph waltz samuel l jackson djimon hounsou,5.5,2430,africa feral child tarzan jungle animal attack alexander skarsguerd margot robbie christoph waltz samuel l jackson djimon hounsou action adventure
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",adventure family fantasy,saving the world witch based on novel brother sister relationship self sacrifice,william moseley anna popplewell skandar keynes georgie henley liam neeson,6.7,2629,saving the world witch based on novel brother sister relationship self sacrifice william moseley anna popplewell skandar keynes georgie henley liam neeson adventure family fantasy
246655,X-Men: Apocalypse,science fiction,mutant supernatural powers marvel comic superhero based on comic book,james mcavoy michael fassbender jennifer lawrence nicholas hoult oscar isaac,6.4,4721,mutant supernatural powers marvel comic superhero based on comic book james mcavoy michael fassbender jennifer lawrence nicholas hoult oscar isaac science fiction
155,The Dark Knight,drama action crime thriller,dc comics crime fighter secret identity scarecrow sadism,christian bale heath ledger aaron eckhart michael caine maggie gyllenhaal,8.2,12002,dc comics crime fighter secret identity scarecrow sadism christian bale heath ledger aaron eckhart michael caine maggie gyllenhaal drama action crime thriller
14160,Up,animation comedy family adventure,age difference central and south america balloon animation floating in the air,ed asner christopher plummer jordan nagai bob peterson delroy lindo,7.7,6870,age difference central and south america balloon animation floating in the air ed asner christopher plummer jordan nagai bob peterson delroy lindo animation comedy family adventure
15512,Monsters vs Aliens,animation family adventure science fiction,alien giant robot duringcreditsstinger,seth rogen reese witherspoon hugh laurie paul rudd kiefer sutherland,6.0,1423,alien giant robot duringcreditsstinger seth rogen reese witherspoon hugh laurie paul rudd kiefer sutherland animation family adventure science fiction
1726,Iron Man,action science fiction adventure,middle east arms dealer malibu marvel comic superhero,robert downey jr terrence howard jeff bridges shaun toub gwyneth paltrow,7.4,8776,middle east arms dealer malibu marvel comic superhero robert downey jr terrence howard jeff bridges shaun toub gwyneth paltrow action science fiction adventure
44826,Hugo,adventure drama family,library clock film director key toy,ben kingsley sacha baron cohen asa butterfield chloueb grace moretz ray winstone,7.0,2141,library clock film director key toy ben kingsley sacha baron cohen asa butterfield chloueb grace moretz ray winstone adventure drama family
8487,Wild Wild West,action adventure comedy science fiction western,steampunk based on tv series steam locomotive drag,will smith kevin kline kenneth branagh salma hayek m emmet walsh,5.1,1020,steampunk based on tv series steam locomotive drag will smith kevin kline kenneth branagh salma hayek m emmet walsh action adventure comedy science fiction western
1735,The Mummy: Tomb of the Dragon Emperor,adventure action fantasy,,brendan fraser jet li john hannah maria bello luke ford,5.2,1387, brendan fraser jet li john hannah maria bello luke ford adventure action fantasy
297761,Suicide Squad,action adventure crime fantasy science fiction,dc comics shared universe anti hero secret mission villain,will smith margot robbie joel kinnaman viola davis jared leto,5.9,7458,dc comics shared universe anti hero secret mission villain will smith margot robbie joel kinnaman viola davis jared leto action adventure crime fantasy science fiction
2698,Evan Almighty,fantasy comedy family,father son relationship daily life married couple support father,steve carell lauren graham john goodman jimmy bennett john michael higgins,5.3,1151,father son relationship daily life married couple support father steve carell lauren graham john goodman jimmy bennett john michael higgins fantasy comedy family
137113,Edge of Tomorrow,action science fiction,deja vu time warp restart dystopia war,tom cruise emily blunt brendan gleeson bill paxton jonas armstrong,7.6,4858,deja vu time warp restart dystopia war tom cruise emily blunt brendan gleeson bill paxton jonas armstrong action science fiction
9804,Waterworld,adventure action,ocean tattoo mutant water dystopia,kevin costner chaim girafi rick aviles r d call zitto kazann,5.9,992,ocean tattoo mutant water dystopia kevin costner chaim girafi rick aviles r d call zitto kazann adventure action
14869,G.I. Joe: The Rise of Cobra,adventure action thriller science fiction,terrorist secret hostage technology warhead,dennis quaid channing tatum marlon wayans sienna miller joseph gordonlevitt,5.6,1962,terrorist secret hostage technology warhead dennis quaid channing tatum marlon wayans sienna miller joseph gordonlevitt adventure action thriller science fiction
150540,Inside Out,drama comedy animation family,dream cartoon imaginary friend animation family,amy poehler phyllis smith richard kind bill hader lewis black,8.0,6560,dream cartoon imaginary friend animation family amy poehler phyllis smith richard kind bill hader lewis black drama comedy animation family
278927,The Jungle Book,family adventure drama fantasy,based on novel snake wolf elephant tiger,neel sethi bill murray ben kingsley idris elba scarlett johansson,6.7,2892,based on novel snake wolf elephant tiger neel sethi bill murray ben kingsley idris elba scarlett johansson family adventure drama fantasy
10138,Iron Man 2,adventure action science fiction,malibu marvel comic superhero based on comic book revenge,robert downey jr gwyneth paltrow don cheadle scarlett johansson mickey rourke,6.6,6849,malibu marvel comic superhero based on comic book revenge robert downey jr gwyneth paltrow don cheadle scarlett johansson mickey rourke adventure action science fiction
58595,Snow White and the Huntsman,adventure fantasy drama,queen magic fairy tale immortality forest,kristen stewart charlize theron chris hemsworth sam claflin ian mcshane,5.8,3118,queen magic fairy tale immortality forest kristen stewart charlize theron chris hemsworth sam claflin ian mcshane adventure fantasy drama
102651,Maleficent,fantasy adventure action family romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,angelina jolie elle fanning sharlto copley sam riley juno temple,7.0,4496,fairy tale villain sleeping beauty dark fantasy based on fairy tale angelina jolie elle fanning sharlto copley sam riley juno temple fantasy adventure action family romance
119450,Dawn of the Planet of the Apes,science fiction action drama thriller,leader colony postapocalyptic dystopia forest,andy serkis jason clarke gary oldman keri russell toby kebbell,7.3,4410,leader colony postapocalyptic dystopia forest andy serkis jason clarke gary oldman keri russell toby kebbell science fiction action drama thriller
64686,47 Ronin,drama action adventure fantasy,japan suicide samurai based on true story samurai sword,keanu reeves hiroyuki sanada kou shibasaki tadanobu asano min tanaka,5.9,1326,japan suicide samurai based on true story samurai sword keanu reeves hiroyuki sanada kou shibasaki tadanobu asano min tanaka drama action adventure fantasy
100402,Captain America: The Winter Soldier,action adventure science fiction,washington dc future shield marvel comic superhero,chris evans samuel l jackson scarlett johansson robert redford sebastian stan,7.6,5764,washington dc future shield marvel comic superhero chris evans samuel l jackson scarlett johansson robert redford sebastian stan action adventure science fiction
10192,Shrek Forever After,comedy adventure fantasy animation family,ogre d,mike myers eddie murphy cameron diaz antonio banderas julie andrews,6.0,1959,ogre d mike myers eddie murphy cameron diaz antonio banderas julie andrews comedy adventure fantasy animation family
158852,Tomorrowland,adventure family mystery science fiction,inventor apocalypse destiny imax dreamer,britt robertson george clooney raffey cassidy thomas robinson hugh laurie,6.2,2846,inventor apocalypse destiny imax dreamer britt robertson george clooney raffey cassidy thomas robinson hugh laurie adventure family mystery science fiction
177572,Big Hero 6,adventure family animation action comedy,brother brother relationship hero talent revenge best friend,scott adsit ryan potter daniel henney tj miller jamie chung,7.8,6135,brother brother relationship hero talent revenge best friend scott adsit ryan potter daniel henney tj miller jamie chung adventure family animation action comedy
82690,Wreck-It Ralph,family animation comedy adventure,support group product placement bullying racing arcade,john c reilly sarah silverman jack mcbrayer jane lynch alan tudyk,7.1,4570,support group product placement bullying racing arcade john c reilly sarah silverman jack mcbrayer jane lynch alan tudyk family animation comedy adventure
5255,The Polar Express,adventure animation family fantasy,santa claus nerd faith gift bell,tom hanks michael jeter nona gaye peter scolari eddie deezen,6.4,1474,santa claus nerd faith gift bell tom hanks michael jeter nona gaye peter scolari eddie deezen adventure animation family fantasy
47933,Independence Day: Resurgence,action adventure science fiction,alternate history alien invasion,liam hemsworth jeff goldblum bill pullman maika monroe sela ward,4.9,2491,alternate history alien invasion liam hemsworth jeff goldblum bill pullman maika monroe sela ward action adventure science fiction
10191,How to Train Your Dragon,fantasy adventure animation family,flying blacksmith arena island night,jay baruchel gerard butler craig ferguson america ferrera jonah hill,7.5,4227,flying blacksmith arena island night jay baruchel gerard butler craig ferguson america ferrera jonah hill fantasy adventure animation family
296,Terminator 3: Rise of the Machines,action thriller science fiction,saving the world artificial intelligence man vs machine cyborg killer robot,arnold schwarzenegger nick stahl claire danes kristanna loken david andrews,5.9,2143,saving the world artificial intelligence man vs machine cyborg killer robot arnold schwarzenegger nick stahl claire danes kristanna loken david andrews action thriller science fiction
118340,Guardians of the Galaxy,action science fiction adventure,marvel comic spaceship space outer space orphan,chris pratt zoe saldana dave bautista vin diesel bradley cooper,7.9,9742,marvel comic spaceship space outer space orphan chris pratt zoe saldana dave bautista vin diesel bradley cooper action science fiction adventure
157336,Interstellar,adventure drama science fiction,saving the world artificial intelligence father son relationship single parent nasa,matthew mcconaughey jessica chastain anne hathaway michael caine casey affleck,8.1,10867,saving the world artificial intelligence father son relationship single parent nasa matthew mcconaughey jessica chastain anne hathaway michael caine casey affleck adventure drama science fiction
27205,Inception,action thriller science fiction mystery adventure,loss of lover dream kidnapping sleep subconsciousness,leonardo dicaprio joseph gordonlevitt ellen page tom hardy ken watanabe,8.1,13752,loss of lover dream kidnapping sleep subconsciousness leonardo dicaprio joseph gordonlevitt ellen page tom hardy ken watanabe action thriller science fiction mystery adventure
315011,Shin Godzilla,action adventure drama horror science fiction,monster godzilla giant monster destruction kaiju,hiroki hasegawa yutaka takenouchi satomi ishihara kengo kora matsuo satoru,6.5,143,monster godzilla giant monster destruction kaiju hiroki hasegawa yutaka takenouchi satomi ishihara kengo kora matsuo satoru action adventure drama horror science fiction
49051,The Hobbit: An Unexpected Journey,adventure fantasy action,riddle elves dwarves orcs middleearth tolkien,ian mckellen martin freeman richard armitage andy serkis cate blanchett,7.0,8297,riddle elves dwarves orcs middleearth tolkien ian mckellen martin freeman richard armitage andy serkis cate blanchett adventure fantasy action
9799,The Fast and the Furious,action crime thriller,street gang car race undercover autotuning los angeles,paul walker vin diesel michelle rodriguez jordana brewster rick yune,6.6,3428,street gang car race undercover autotuning los angeles paul walker vin diesel michelle rodriguez jordana brewster rick yune action crime thriller
4922,The Curious Case of Benjamin Button,fantasy drama thriller mystery romance,diary navy funeral tea travel,cate blanchett brad pitt tilda swinton julia ormond elle fanning,7.3,3292,diary navy funeral tea travel cate blanchett brad pitt tilda swinton julia ormond elle fanning fantasy drama thriller mystery romance
49538,X-Men: First Class,action science fiction adventure,cia mutant mine marvel comic superhero,james mcavoy michael fassbender jennifer lawrence kevin bacon rose byrne,7.1,5181,cia mutant mine marvel comic superhero james mcavoy michael fassbender jennifer lawrence kevin bacon rose byrne action science fiction adventure
131634,The Hunger Games: Mockingjay - Part 2,action adventure science fiction,revolution strong woman dystopia game of death d,jennifer lawrence josh hutcherson liam hemsworth woody harrelson elizabeth banks,6.6,3984,revolution strong woman dystopia game of death d jennifer lawrence josh hutcherson liam hemsworth woody harrelson elizabeth banks action adventure science fiction
27022,The Sorcerer's Apprentice,fantasy adventure action comedy drama,witch fire wolf fountain magic,nicolas cage jay baruchel monica bellucci alfred molina teresa palmer,5.8,1470,witch fire wolf fountain magic nicolas cage jay baruchel monica bellucci alfred molina teresa palmer fantasy adventure action comedy drama
503,Poseidon,adventure action drama thriller,new years eve fire drowning cataclysm loss of father,kurt russell richard dreyfuss josh lucas jacinda barrett emmy rossum,5.5,583,new years eve fire drowning cataclysm loss of father kurt russell richard dreyfuss josh lucas jacinda barrett emmy rossum adventure action drama thriller
241259,Alice Through the Looking Glass,fantasy,based on novel clock queen sequel alice in wonderland,johnny depp mia wasikowska anne hathaway helena bonham carter alan rickman,6.5,1725,based on novel clock queen sequel alice in wonderland johnny depp mia wasikowska anne hathaway helena bonham carter alan rickman fantasy
810,Shrek the Third,fantasy adventure animation comedy family,ambush sadness stage liberation of prisoners island,mike myers eddie murphy cameron diaz julie andrews antonio banderas,6.0,2278,ambush sadness stage liberation of prisoners island mike myers eddie murphy cameron diaz julie andrews antonio banderas fantasy adventure animation comedy family
68735,Warcraft,action adventure fantasy,video game elves orcs magic chase,paula patton travis fimmel ben foster robert kazinsky dominic cooper,6.3,2268,video game elves orcs magic chase paula patton travis fimmel ben foster robert kazinsky dominic cooper action adventure fantasy
