id,title,genres,keywords,cast,vote_average,vote_count
44912,Green Lantern,Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection,Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong,5.1,2487
10193,Toy Story 3,Animation Family Comedy,hostage college toy barbie animation,Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton,7.6,4597
534,Terminator Salvation,Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg,Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard,5.9,2463
168259,Furious 7,Action,car race speed revenge suspense car,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson,7.3,4176
72190,World War Z,Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,6.7,5560
127585,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry,7.5,6032
54138,Star Trek Into Darkness,Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,7.4,4418
81005,Jack the Giant Slayer,Action Family Fantasy,based on fairy tale giant,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,5.5,2598
64682,The Great Gatsby,Drama Romance,based on novel infidelity obsession hope 3d,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,7.3,3769
9543,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,6.2,2317
68726,Pacific Rim,Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,6.7,4794
38356,Transformers: Dark of the Moon,Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,6.1,3299
217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,saving the world riddle whip treasure mexico city,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,5.7,2495
105864,The Good Dinosaur,Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,6.6,1736
62177,Brave,Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,6.7,4641
188927,Star Trek Beyond,Action Adventure Science Fiction,sequel stranded hatred space opera,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,6.6,2568
10681,WALL·E,Animation Family,romantic comedy,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,7.8,6296
5174,Rush Hour 3,Action Comedy Crime Thriller,ambassador,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,6.1,783
14161,2012,Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,5.6,4903
17979,A Christmas Carol,Animation Drama,holiday based on novel victorian england money christmas eve,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,6.6,1095
76757,Jupiter Ascending,Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,5.2,2768
258489,The Legend of Tarzan,Action Adventure,africa feral child tarzan jungle animal attack,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,5.5,2430
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,6.7,2629
246655,X-Men: Apocalypse,Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,6.4,4721
155,The Dark Knight,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,8.2,12002
14160,Up,Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,7.7,6870
15512,Monsters vs Aliens,Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,6.0,1423
1726,Iron Man,Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,7.4,8776
44826,Hugo,Adventure Drama Family,library clock film director key toy,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,7.0,2141
8487,Wild Wild West,Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,5.1,1020
1735,The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,5.2,1387
297761,Suicide Squad,Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,5.9,7458
2698,Evan Almighty,Fantasy Comedy Family,father son relationship daily life married couple support father,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,5.3,1151
137113,Edge of Tomorrow,Action Science Fiction,deja vu time warp restart dystopia war,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,7.6,4858
9804,Waterworld,Adventure Action,ocean tattoo mutant water dystopia,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,5.9,992
14869,G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,5.6,1962
150540,Inside Out,Drama Comedy Animation Family,dream cartoon imaginary friend animation family,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,8.0,6560
278927,The Jungle Book,Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,6.7,2892
10138,Iron Man 2,Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,6.6,6849
58595,Snow White and the Huntsman,Adventure Fantasy Drama,queen magic fairy tale immortality forest,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,5.8,3118
102651,Maleficent,Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,7.0,4496
119450,Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,7.3,4410
64686,47 Ronin,Drama Action Adventure Fantasy,japan suicide samurai based on true story samurai sword,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,5.9,1326
100402,Captain America: The Winter Soldier,Action Adventure Science Fiction,washington d.c. future shield marvel comic superhero,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,7.6,5764
10192,Shrek Forever After,Comedy Adventure Fantasy Animation Family,ogre 3d,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,6.0,1959
158852,Tomorrowland,Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,6.2,2846
177572,Big Hero 6,Adventure Family Animation Action Comedy,brother brother relationship hero talent revenge best friend,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,7.8,6135
82690,Wreck-It Ralph,Family Animation Comedy Adventure,support group product placement bullying racing arcade,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,7.1,4570
5255,The Polar Express,Adventure Animation Family Fantasy,santa claus nerd faith gift bell,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,6.4,1474
47933,Independence Day: Resurgence,Action Adventure Science Fiction,alternate history alien invasion,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,4.9,2491
10191,How to Train Your Dragon,Fantasy Adventure Animation Family,flying blacksmith arena island night,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,7.5,4227
296,Terminator 3: Rise of the Machines,Action Thriller Science Fiction,saving the world artificial intelligence man vs machine cyborg killer robot,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,5.9,2143
118340,Guardians of the Galaxy,Action Science Fiction Adventure,marvel comic spaceship space outer space orphan,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,7.9,9742
157336,Interstellar,Adventure Drama Science Fiction,saving the world artificial intelligence father son relationship single parent nasa,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,8.1,10867
27205,Inception,Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,8.1,13752
315011,Shin Godzilla,Action Adventure Drama Horror Science Fiction,monster godzilla giant monster destruction kaiju,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,6.5,143
49051,The Hobbit: An Unexpected Journey,Adventure Fantasy Action,riddle elves dwarves orcs middle-earth (tolkien),Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,7.0,8297
9799,The Fast and the Furious,Action Crime Thriller,street gang car race undercover auto-tuning los angeles,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,6.6,3428
4922,The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,7.3,3292
49538,X-Men: First Class,Action Science Fiction Adventure,cia mutant mine marvel comic superhero,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,7.1,5181
131634,The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction,revolution strong woman dystopia game of death 3d,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,6.6,3984
27022,The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,5.8,1470
503,Poseidon,Adventure Action Drama Thriller,new year's eve fire drowning cataclysm loss of father,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,5.5,583
241259,Alice Through the Looking Glass,Fantasy,based on novel clock queen sequel alice in wonderland,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,6.5,1725
810,Shrek the Third,Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,6.0,2278
68735,Warcraft,Action Adventure Fantasy,video game elves orcs magic chase,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,6.3,2268
87101,Terminator Genisys,Science Fiction Action Thriller Adventure,saving the world artificial intelligence cyborg killer robot future,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,5.8,3631
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,based on novel magic good vs evil king narnia,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,6.2,1514
676,Pearl Harbor,History Romance War,nurse patriotism hawaii world war ii pilot,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,6.6,1791
1858,Transformers,Adventure Science Fiction Action,destroy transformation alien based on toy transformers,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,6.6,4040
1966,Alexander,War History Action Adventure Drama,aristotle egypt greece persia elephant,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,5.6,927
675,Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery,prophecy witch loss of lover magic cutting the cord,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,7.4,5494
674,Harry Potter and the Goblet of Fire,Adventure Fantasy Family,magic dying and death broom sorcerer's apprentice school of witchcraft,Daniel Radcliffe Rupert Grint Emma Watson Ralph Fiennes Michael Gambon,7.5,5608
8960,Hancock,Fantasy Action,flying alcohol love of one's life forbidden love lovers,Will Smith Charlize Theron Jason Bateman Jae Head Eddie Marsan,6.2,2961
6479,I Am Legend,Drama Horror Action Thriller Science Fiction,saving the world lost civilisation post-apocalyptic dystopia matter of life and death,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,6.9,4853
118,Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy,london england father son relationship chocolate factory worker based on novel,Johnny Depp Freddie Highmore David Kelly AnnaSophia Robb Julia Winter,6.7,3624
2062,Ratatouille,Animation Comedy Family Fantasy,paris brother brother relationship expensive restaurant river cook,Patton Oswalt Ian Holm Lou Romano Brian Dennehy Peter Sohn,7.5,4369
272,Batman Begins,Action Crime Drama,himalaya martial arts dc comics crime fighter secret identity,Christian Bale Michael Caine Liam Neeson Katie Holmes Gary Oldman,7.5,7359
10527,Madagascar: Escape 2 Africa,Family Animation,africa jealousy dance hunger lion,Ben Stiller Jada Pinkett Smith David Schwimmer Chris Rock Cedric the Entertainer,6.2,1810
18360,Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,Ben Stiller Amy Adams Owen Wilson Hank Azaria Robin Williams,5.9,1971
2080,X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction,corruption mutant boxer army marvel comic,Hugh Jackman Liev Schreiber Danny Huston Lynn Collins Ryan Reynolds,6.2,4021
605,The Matrix Revolutions,Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine flying philosophy,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,6.4,3096
109445,Frozen,Animation Adventure Family,queen musical princess betrayal snowman,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Santino Fontana,7.3,5295
604,The Matrix Reloaded,Adventure Action Thriller Science Fiction,saving the world artificial intelligence man vs machine martial arts kung fu,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,6.7,3443
76338,Thor: The Dark World,Action Adventure Fantasy,marvel comic superhero based on comic book hostile takeover norse mythology,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Christopher Eccleston,6.8,4755
76341,Mad Max: Fury Road,Action Adventure Science Fiction Thriller,future chase post-apocalyptic dystopia australia,Tom Hardy Charlize Theron Nicholas Hoult Hugh Keays-Byrne Josh Helman,7.2,9427
13448,Angels & Demons,Thriller Mystery,rome vatican based on novel symbolism christian,Tom Hanks Ewan McGregor Ayelet Zurer Stellan Skarsg\u00e5rd Pierfrancesco Favino,6.5,2129
10195,Thor,Adventure Fantasy Action,new mexico banishment shield marvel comic hammer,Chris Hemsworth Natalie Portman Tom Hiddleston Anthony Hopkins Stellan Skarsg\u00e5rd,6.6,6525
13053,Bolt,Animation Family Adventure Comedy,hamster kids and family animal cat vs dog duringcreditsstinger,John Travolta Miley Cyrus Susie Essman Mark Walton Malcolm McDowell,6.3,1750
19585,G-Force,Fantasy Action Adventure Family Comedy,dyr duringcreditsstinger,Sam Rockwell Pen\u00e9lope Cruz Tracy Morgan Jon Favreau Steve Buscemi,5.1,510
57165,Wrath of the Titans,Adventure,underworld hades mythology greek mythology zeus,Sam Worthington Liam Neeson Ralph Fiennes Edgar Ram\u00edrez Toby Kebbell,5.5,1431
62213,Dark Shadows,Comedy Fantasy,witch imprisonment vampire curse fish out of water,Johnny Depp Michelle Pfeiffer Helena Bonham Carter Jackie Earle Haley Jonny Lee Miller,5.7,2320
177677,Mission: Impossible - Rogue Nation,Action Adventure Thriller,london england spy austria villain sequel,Tom Cruise Rebecca Ferguson Simon Pegg Jeremy Renner Ving Rhames,7.1,3224
7978,The Wolfman,Drama Horror Thriller,father son relationship victorian england remake rural setting werewolf,Benicio del Toro Anthony Hopkins Emily Blunt Hugo Weaving Cristina Contes,5.5,549
5559,Bee Movie,Family Animation Adventure Comedy,factory worker tennis flower florist flower shop,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,5.7,1171
49444,Kung Fu Panda 2,Animation Family,martial arts hope fleet panda mission,Jack Black Angelina Jolie Dustin Hoffman Gary Oldman Jackie Chan,6.7,1880
10196,The Last Airbender,Action Adventure Family Fantasy,fire ice war ship prince kingdom,Noah Ringer Nicola Peltz Jackson Rathbone Dev Patel Shaun Toub,4.7,1151
956,Mission: Impossible III,Adventure Action Thriller,berlin cia vatican white house secret identity,Tom Cruise Philip Seymour Hoffman Ving Rhames Billy Crudup Jonathan Rhys Meyers,6.5,2028
117251,White House Down,Action Drama Thriller,usa president conspiracy secret service the white house,Channing Tatum Jamie Foxx Joey King Maggie Gyllenhaal Richard Jenkins,6.4,1891
50321,Mars Needs Moms,Adventure Animation Family,boy alien rescue martian alien abduction,Seth Green Joan Cusack Dan Fogler Breckin Meyer Elisabeth Harnois,5.5,199
11619,Flushed Away,Adventure Animation Comedy Family,london england underworld return ship frog,Hugh Jackman Kate Winslet Ian McKellen Jean Reno Bill Nighy,6.0,874
266647,Pan,Adventure Family Fantasy,flying magic fairy tale peter pan mermaid,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,5.9,954
82703,Mr. Peabody & Sherman,Animation Adventure Family,father son relationship egypt intelligence adoption time travel,Ty Burrell Max Charles Ariel Winter Allison Janney Ellie Kemper,6.7,843
652,Troy,Adventure Drama War,brother brother relationship adultery mythology beauty trojan war,Brad Pitt Orlando Bloom Eric Bana Brian Cox Sean Bean,6.9,2759
80321,Madagascar 3: Europe's Most Wanted,Animation Family,madagascar 3d,Ben Stiller Sacha Baron Cohen David Schwimmer Frances McDormand Chris Rock,6.4,1808
36669,Die Another Day,Adventure Action Thriller,laser british secret service secret service agent space based weapon,Pierce Brosnan Halle Berry Rosamund Pike Rick Yune Toby Stephens,5.8,1092
43074,Ghostbusters,Action Fantasy Comedy,female friendship ghost hunting reboot ghost,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,5.3,2142
95,Armageddon,Action Thriller Science Fiction Adventure,saving the world paris moon cataclysm asteroid,Bruce Willis Billy Bob Thornton Ben Affleck Liv Tyler Will Patton,6.4,2482
608,Men in Black II,Action Adventure Comedy Science Fiction,saving the world secret identity sun glasses undercover space marine,Tommy Lee Jones Will Smith Rip Torn Lara Flynn Boyle Johnny Knoxville,6.0,3114
2310,Beowulf,Adventure Action Animation,denmark nordic mythology lie pride and vanity folk hero,Ray Winstone Angelina Jolie Anthony Hopkins Robin Wright John Malkovich,5.5,841
140300,Kung Fu Panda 3,Action Adventure Animation Comedy Family,china martial arts kung fu village panda,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,6.7,1603
56292,Mission: Impossible - Ghost Protocol,Action Thriller Adventure,fight sequel mission explosion broken arm,Tom Cruise Jeremy Renner Simon Pegg Paula Patton Anil Kapoor,6.8,3972
81188,Rise of the Guardians,Fantasy Animation Family,dream santa claus nightmare easter bunny tooth fairy,Chris Pine Alec Baldwin Jude Law Isla Fisher Hugh Jackman,7.1,1922
